PublicationDate,PropertyNumber,County,LocalAuthority,Category,Uses,Address1,Address2,Address3,Address4,Address5,CarPark,ValuationReport__Level,ValuationReport__FloorUse,ValuationReport__Area,ValuationReport__NavPerM2,ValuationReport__Nav
17/09/2019,2173054,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (HOUSE), -",LOCAL NO/MAP REF: 17C/UNIT 1,KILLINCARRIG,GREYSTONES,RATHDOWN 2 CO. WICKLOW,,0,0,OFFICE(S),66.03,120,7923.6
17/09/2019,2176377,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (3RD GENERATION), -",44E CIVIC OFFICES (FLOOR  -2) MAIN STREET,BRAY,CO. WICKLOW,,,0,2,OFFICE(S),498,120,59760
17/09/2019,656457,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OVER THE SHOP), -",1A2 QUINSBOROUGH ROAD,BRAY,CO. WICKLOW,,,0,1,OFFICE(S),16.4,90,1476
,,,,,,,,,,,,1,OFFICE(S),1,369,369
17/09/2019,656489,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OVER THE SHOP), -",61**PT**OF QUINSBOROUGH ROAD,BRAY,CO. WICKLOW,,,0,1,OFFICE(S),52.64,90,4737.6
,,,,,,,,,,,,2,OFFICE(S),52.64,63,3316.32
17/09/2019,656522,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OVER THE SHOP), -",67/68 QUINSBOROUGH ROAD,BRAY,CO. WICKLOW,,,0,1,OFFICE(S),118.12,90,10630.8
,,,,,,,,,,,,2,OFFICE(S),43.24,63,2724.12
,,,,,,,,,,,,1,ALLOWANCE,-1,2126,-2126
17/09/2019,656957,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (GEORGIAN / VICTORIAN), -",84 STRAND ROAD,BRAY,CO. WICKLOW,,,0,0,OFFICE(S),65.46,120,7855.2
17/09/2019,658379,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OVER THE SHOP), -",82 83 PTOF MAIN STREET,BRAY,CO. WICKLOW,,,0,1,OFFICE(S),105.52,90,9496.8
17/09/2019,2170019,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (INDUSTRIAL), -",LOCAL NO/MAP REF: 6AA.4AC/UNIT 1,ASHFORD,GLENEALY,RATHDRUM CO. WICKLOW,,0,0,OFFICE(S),51.52,38.4,1978.368
,,,,,,,,,,,,1,OFFICE(S),42.63,38.4,1636.992
17/09/2019,2170805,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OVER THE SHOP), -",2AB/UNIT 48 EGAN BUSINESS CENTRE DARGLE ROAD,BRAY,CO. WICKLOW,,,0,1,OFFICE(S),32.68,90,2941.2
17/09/2019,2170820,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OVER THE SHOP), -",2AB/UNIT 60 EGAN BUSINESS CENTRE DARGLE ROAD,BRAY,CO. WICKLOW,,,0,1,OFFICE(S),23.94,90,2154.6
,,,,,,,,,,,,1,ALLOWANCE,1,537.5,537.5
,,,,,,,,,,,,1,ALLOWANCE,-1,538,-538
17/09/2019,2171842,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OVER THE SHOP), -",1A (1ST FL) FITZWILLIAM SQUARE,WICKLOW,CO. WICKLOW,,,0,1,OFFICE(S),70.56,70,4939.2
17/09/2019,2095097,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OVER THE SHOP), -",9 (IST FL)(LEFT) SOUTH QUAY,WICKLOW,CO. WICKLOW,,,0,1,OFFICE(S),77.16,70,5401.2
17/09/2019,663370,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OWN DOOR), -",24 ( FLR 1 & 2) MAIN STREET,WICKLOW,CO. WICKLOW,,,0,1,OFFICE(S),67.42,63,4247.46
,,,,,,,,,,,,2,OFFICE(S),59.8,44,2631.2
17/09/2019,2176025,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OWN DOOR), -",LOCAL NO/MAP REF: 16/11 UNIT 6 (FLR -1 & PT FLR 1),COOKSTOWN,ENNISKERRY,RATHDOWN 2 CO. WICKLOW,,0,-1,OFFICE(S),47,56,2632
,,,,,,,,,,,,-1,STORE,9,56,504
,,,,,,,,,,,,-1,OFFICE(S),-2,56,-112
,,,,,,,,,,,,1,OFFICE(S),71,56,3976
,,,,,,,,,,,,1,OFFICE(S),-14,56,-784
,,,,,,,,,,,,1,STORE,6,56,336
17/09/2019,2176382,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (INDUSTRIAL), -","UNIT 2 (FLOOR 0 (PART), 1) BRAY SOUTH BUS PARK",BRAY,CO. WICKLOW,,,0,0,STORE,51,66,3366
,,,,,,,,,,,,1,OFFICE(S),199,66,13134
17/09/2019,2180001,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OVER THE SHOP), -",32 (REAR 1ST FLR) MAIN STREET,ARKLOW,CO. WICKLOW,,,0,1,OFFICE(S),134.02,70,9381.4
,,,,,,,,,,,,1,ALLOWANCE,-1,1876.28,-1876.28
17/09/2019,2180601,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (HOUSE), -",12 (RERE) MAIN STREET UPPER,ARKLOW,CO. WICKLOW,,,0,0,OFFICE(S),3,90,270
,,,,,,,,,,,,0,OFFICE(S),1,930,930
17/09/2019,2179751,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (BUSINESS PARK), -",LOCAL NO/MAP REF: 3/D/UNIT 17 FLR 1,BALLINACOR,TINAHELY,SHILLELAGH CO. WICKLOW,,0,1,OFFICE(S),29.63,70,2074.1
17/09/2019,2200543,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OVER THE SHOP), -",18B/C (FLR 1) MAIN STREET UPPER,ARKLOW,CO. WICKLOW,,,0,1,OFFICE(S),70.88,70,4961.6
17/09/2019,2214436,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OWN DOOR), -",LOCAL NO/MAP REF: 14/B,BALLYDONAREA,KILCOOLE,RATHDRUM CO. WICKLOW,,0,0,OFFICE(S),187.36,80,14988.8
,,,,,,,,,,,,1,OFFICE(S),133.41,56,7470.96
17/09/2019,2214661,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (GEORGIAN / VICTORIAN), -",7 FLR 1 QUINSBOROUGH TERRACE,BRAY,CO. WICKLOW,,,0,1,OFFICE(S),68.5,84,5754
17/09/2019,2214386,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OVER THE SHOP), -",FLOOR(S) 1,UNIT 3 BLACKLION ROAD,GREYSTONES/DELGANY,CO. WICKLOW,,0,1,OFFICE(S),134.83,90,12134.7
17/09/2019,656510,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OWN DOOR), -",77 WESTBOURNE TERRACE,BRAY,CO. WICKLOW,,,0,1,OFFICE(S),419.43,84,35232.12
,,,,,,,,,,,,2,OFFICE(S),408.35,84,34301.4
17/09/2019,2170819,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OVER THE SHOP), -",2AB/UNIT 59 EGAN BUSINESS CENTRE DARGLE ROAD,BRAY,CO. WICKLOW,,,0,1,OFFICE(S),21.41,90,1926.9
,,,,,,,,,,,,1,OFFICE(S),1,480,480
,,,,,,,,,,,,1,ALLOWANCE,-1,480,-480
17/09/2019,2170828,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OVER THE SHOP), -",2AB/UNIT 65 EGAN BUSINESS CTR. DARGLE ROAD,BRAY,CO. WICKLOW,,,0,1,OFFICE(S),22,90,1980
,,,,,,,,,,,,1,OFFICE(S),1,495,495
,,,,,,,,,,,,1,OFFICE(S),-1,494,-494
17/09/2019,2200974,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (3RD GENERATION), -",1L/UNIT B - 1ST FLOOR OFFICE SOUTHERN CROSS ROAD,BRAY,CO. WICKLOW,,,0,1,OFFICE(S),350.45,120,42054
17/09/2019,2184630,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OVER THE SHOP), -",15/16 (FLOOR 1) ALBERT WALK,BRAY,CO. WICKLOW,,,0,1,OFFICE(S),36.76,90,3308.4
17/09/2019,662985,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (HOUSE), -",1 BRIDGE STREET,WICKLOW,CO. WICKLOW,,,0,0,OFFICE(S),72.47,90,6522.3
,,,,,,,,,,,,1,OFFICE(S),106.48,63,6708.24
17/09/2019,2182390,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OWN DOOR), -",LOCAL NO/MAP REF: 24DE(I),KILLINCARRIG,GREYSTONES,RATHDOWN 2 CO. WICKLOW,,0,0,OFFICE(S),53.12,120,6374.4
,,,,,,,,,,,,1,OFFICE(S),100.88,120,12105.6
,,,,,,,,,,,,-1,OFFICE(S),109.11,120,13093.2
17/09/2019,658505,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OVER THE SHOP), RESTAURANT",91 MAIN STREET,BRAY,CO. WICKLOW,,,0,1,RESTAURANT,49.25,110,5417.5
17/09/2019,658507,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OVER THE SHOP), -",93.94A MAIN STREET,BRAY,CO. WICKLOW,,,0,1,OFFICE(S),83.6,90,7524
,,,,,,,,,,,,1,STORE,8.4,90,756
17/09/2019,662660,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (GEORGIAN / VICTORIAN), -",7A WENTWORTH PLACE,WICKLOW,CO. WICKLOW,,,0,0,OFFICE(S),119.69,90,10772.1
17/09/2019,2193072,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OVER THE SHOP), -",LOCAL NO/MAP REF: LOT 30/50 FLOOR 2,AUGHRIM LOWER,AUGHRIM,RATHDRUM CO. WICKLOW,,0,2,OFFICE(S),52.7,32,1686.4
17/09/2019,658500,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OVER THE SHOP), -",68-B/2 MAIN STREET,BRAY,CO. WICKLOW,,,0,1,OFFICE(S),36.31,90,3267.9
17/09/2019,662733,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OWN DOOR), -",4CD CHURCH STREET,WICKLOW,CO. WICKLOW,,,0,0,RECEPTION,18.92,90,1702.8
,,,,,,,,,,,,0,OFFICE(S),79.9,90,7191
,,,,,,,,,,,,1,OFFICE(S),84.09,63,5297.67
,,,,,,,,,,,,2,OFFICE(S),58.46,44,2572.24
17/09/2019,664616,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (HOUSE), -",LOCAL NO/MAP REF: 31/19B (1ST FLOORS),TINAHELY,SHILLELAGH CO. WICKLOW,,,0,1,OFFICE(S),12.43,42,522.06
,,,,,,,,,,,,1,OFFICE(S),1,680,680
17/09/2019,664639,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OVER THE SHOP), -",10/1A (FIRST FLOOR) KILGARRON,ENNISKERRY,CO. WICKLOW,,,0,1,OFFICE(S),30.96,60,1857.6
17/09/2019,2176024,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OWN DOOR), -",LOCAL NO/MAP REF: 16/11 UNIT 5 (PT FLR 0 RETRN),COOKSTOWN,ENNISKERRY,RATHDOWN 2 CO. WICKLOW,,0,0,OFFICE(S),16,80,1280
17/09/2019,2176383,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (INDUSTRIAL), -",UNIT 2 (FLOOR 0) BRAY SOUTH BUS PARK,BRAY,CO. WICKLOW,,,0,0,OFFICE(S),136,72,9792
17/09/2019,653484,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (HOUSE), -",13 FERRYBANK,ARKLOW,CO. WICKLOW,,,0,0,OFFICE(S),67.95,90,6115.5
,,,,,,,,,,,,1 rtn,OFFICE(S),59.29,63,3735.27
,,,,,,,,,,,,1,OFFICE(S),41.86,63,2637.18
,,,,,,,,,,,,2 rtn,OFFICE(S),8.28,44,364.32
,,,,,,,,,,,,2,OFFICE(S),27.3,44,1201.2
17/09/2019,2179627,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (3RD GENERATION), -",1M (FLOOR 0 LHS),ONE SOUTHERN CROSS ROAD,IDA BUSINESS PARK,BRAY,CO WICKLOW,15,0,OFFICE(S),475.87,120,57104.4
,,,,,,,,,,,,0,CAR SPACES (NO. OF),15,150,2250
09/09/2021,2179602,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OVER THE SHOP), -",34 (FLOOR 1) VEVAY ROAD,NEWCOURT,BRAY,CO. WICKLOW,,0,1,OFFICE(S),35.6,120,4272
17/09/2019,664472,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OVER THE SHOP), -",36 MAIN STREET,BRAY,CO. WICKLOW,,,0,1,OFFICE(S),37.66,90,3389.4
17/09/2019,2176023,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OWN DOOR), -",LOCAL NO/MAP REF: 16/11 UNIT 4 (PT FLR 0 RETRN & PT FLR 1),COOKSTOWN,ENNISKERRY,RATHDOWN 2 CO. WICKLOW,,0,1,OFFICE(S),26,56,1456
,,,,,,,,,,,,2,OFFICE(S),19,40,760
17/09/2019,2176391,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (3RD GENERATION), -","1M (0 PART, 2) BRAY BUSINESS PARK",BRAY,CO. WICKLOW,,,0,2,OFFICE(S),1266,120,151920
,,,,,,,,,,,,0,CAR SPACES (NO. OF),50,150,7500
,,,,,,,,,,,,0,OFFICE(S),66,120,7920
17/09/2019,2176434,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OVER THE SHOP), -",10.11/UNIT 4 (1ST FLR) MARKET SQUARE,WICKLOW,CO. WICKLOW,,,0,1,OFFICE(S),48.06,70,3364.2
17/09/2019,2180285,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OVER THE SHOP), -",1D/B CONDRENS LANE,ARKLOW,CO. WICKLOW,,,0,1,OFFICE(S),65.64,70,4594.8
17/09/2019,651329,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (HOUSE), -",1 ST MARY'S TERRACE,ARKLOW,CO. WICKLOW,,,0,0,OFFICE(S),70.51,90,6345.9
,,,,,,,,,,,,1,OFFICE(S),49.13,63,3095.19
17/09/2019,2179742,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (BUSINESS PARK), -",LOCAL NO/MAP REF: 3/D UNIT 9 FLR 1,BALLINACOR,TINAHELY,SHILLELAGH CO. WICKLOW,,0,1,OFFICE(S),35.76,70,2503.2
17/09/2019,2179749,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (BUSINESS PARK), -",LOCAL NO/MAP REF: 3/D/UNIT 15 FLR 1,BALLINACOR,TINAHELY,SHILLELAGH CO. WICKLOW,,0,1,OFFICE(S),43.07,70,3014.9
27/01/2023,2199980,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (HOUSE), -",10/1 LOTTS LANE,KILCOOLE,CO. WICKLOW,,,0,0,OFFICE(S),94.18,80,7534.4
,,,,,,,,,,,,1,OFFICE(S),59.14,56,3311.84
17/09/2019,2200523,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OWN DOOR), -",32 (GND FLR RIGHT REAR OF) MAIN STREET,ARKLOW,CO. WICKLOW,,,0,0,OFFICE(S),68.16,90,6134.4
17/09/2019,663666,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OVER THE SHOP), -","3 (FL 1,pt) MARKET SQUARE",WICKLOW,CO. WICKLOW,,,0,1,OFFICE(S),40.56,70,2839.2
17/09/2019,2173055,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (HOUSE), -",LOCAL NO/MAP REF: 17C/UNIT 2,KILLINCARRIG,GREYSTONES,RATHDOWN 2 CO. WICKLOW,,0,0,OFFICE(S),19.52,120,2342.4
17/09/2019,651549,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OVER THE SHOP), -",84 MAIN STREET LOWER,ARKLOW,CO. WICKLOW,,,0,1,OFFICE(S),37.05,70,2593.5
17/09/2019,2179622,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OVER THE SHOP), -",51 (FLOOR 1) MAIN STREET,BRAY,CO. WICKLOW,,,0,1,OFFICE(S),122,90,10980
,,,,,,,,,,,,1,ALLOWANCE,-1,2196,-2196
17/09/2019,2179603,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OVER THE SHOP), -",34A (FLOOR 1 - FRONT) VEVAY ROAD,BRAY,CO. WICKLOW,,,0,1,OFFICE(S),27.1,90,2439
,,,,,,,,,,,,1,OFFICE(S),1,609.75,609.75
17/09/2019,2179605,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OWN DOOR), -",UNIT 2 PT (FLOOR 0) CARLISLE HOUSE ADELAIDE ROAD,BRAY,CO. WICKLOW,,,0,0,OFFICE(S),24.57,120,2948.4
17/09/2019,2199978,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (HOUSE), -",LOCAL NO/MAP REF: 2B/1,JOHNSTOWN,NEWCASTLE UPPER,RATHDRUM CO. WICKLOW,,0,0,OFFICE(S),139.83,60,8389.8
,,,,,,,,,,,,0,PORTACABIN,34.39,14.8,508.972
17/09/2019,2200193,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (HOUSE), -",11A EGLINGTON ROAD,BRAY,CO. WICKLOW,,,0,-1,SURGERY,98.66,84,8287.44
,,,,,,,,,,,,0,SURGERY,7.51,120,901.2
,,,,,,,,,,,,0,STORE,1.7,120,204
17/09/2019,2200661,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (HOUSE), -",59 (LWR GND FLR) FERRYBANK,ARKLOW,CO. WICKLOW,,,0,0,OFFICE(S),45.3,90,4077
17/09/2019,2200965,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (BUSINESS PARK), -",21/UNIT 1 BEECHWOOD CLOSE,BRAY,CO. WICKLOW,,,2,0,OFFICE(S),73.75,90,6637.5
,,,,,,,,,,,,0,OFFICE(S),-5.41,90,-486.9
17/09/2019,658477,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OVER THE SHOP), -",68 B/1 MAIN STREET,BRAY,CO. WICKLOW,,,0,1,OFFICE(S),20.99,90,1889.1
,,,,,,,,,,,,1,OFFICE(S),1,470,470
17/09/2019,658478,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OVER THE SHOP), -",95B MAIN STREET,BRAY,CO. WICKLOW,,,0,1,OFFICE(S),112.53,90,10127.7
,,,,,,,,,,,,2,OFFICE(S),40.23,63,2534.49
,,,,,,,,,,,,1,ALLOWANCE,-1,2025.54,-2025.54
17/09/2019,662739,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (HOUSE), -",7 (LOCAL NO.2) CHURCH STREET,WICKLOW,CO. WICKLOW,,,0,0,OFFICE(S),71.99,90,6479.1
,,,,,,,,,,,,1,OFFICE(S),71,63,4473
,,,,,,,,,,,,2,OFFICE(S),82,44,3608
17/09/2019,662740,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (GEORGIAN / VICTORIAN), -",8 CHURCH STREET,WICKLOW,CO. WICKLOW,,,0,1,SURGERY,171.58,63,10809.54
17/09/2019,662757,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (GEORGIAN / VICTORIAN), -",P26 8E CHURCH STREET,WICKLOW,CO. WICKLOW,,,0,0,OFFICE(S),46.47,90,4182.3
17/09/2019,663389,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OVER THE SHOP), -",1C MAIN STREET,WICKLOW,CO. WICKLOW,,,0,1,OFFICE(S),75.34,70,5273.8
17/09/2019,663390,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OVER THE SHOP), -",1D MAIN STREET,WICKLOW,CO. WICKLOW,,,0,1,OFFICE(S),26.86,70,1880.2
,,,,,,,,,,,,1,TOILETS,6.05,0,0
17/09/2019,663408,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OVER THE SHOP), -",12A ABBEY STREET,WICKLOW,CO. WICKLOW,,,0,1,OFFICE(S),55.1,70,3857
17/09/2019,663794,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (GEORGIAN / VICTORIAN), -",PT 24 TRAFALGAR COURT,WICKLOW,CO. WICKLOW,,,0,-1,OFFICE(S),177.25,63,11166.75
,,,,,,,,,,,,1,OFFICE(S),164.54,63,10366.02
,,,,,,,,,,,,2,OFFICE(S),83.54,44,3675.76
17/09/2019,2178060,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (GEORGIAN / VICTORIAN), -",ST MARY'S ROAD,ARKLOW,CO. WICKLOW,,,0,0,OFFICE(S),93.99,90,8459.1
,,,,,,,,,,,,1 rtn,OFFICE(S),41.7,63,2627.1
,,,,,,,,,,,,1,OFFICE(S),34.04,63,2144.52
17/09/2019,2180593,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (INDUSTRIAL), -",LOCAL NO/MAP REF: 1C/BLKA UNIT 1B FLR 0 BLESSINGTON BUS PK,BLESSINGTON DEMESNE,BLESSINGTON,BALTINGLASS 1 CO. WICKLOW,,0,0,OFFICE(S),107.6,60,6456
17/09/2019,2190428,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OVER THE SHOP), -",LOCAL NO/MAP REF: 3/D/ UNIT 8B FLR 1,BALLINACOR,TINAHELY,SHILLELAGH CO. WICKLOW,,0,1,OFFICE(S),27.64,45,1243.8
,,,,,,,,,,,,1,OFFICE(S),1,310.95,310.95
17/09/2019,2205431,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OVER THE SHOP), -",63B1 (FF) CHURCH ROAD,GREYSTONES/DELGANY,CO. WICKLOW,,,0,1,OFFICE(S),20.25,90,1822.5
,,,,,,,,,,,,1,OFFICE(S),1,455.625,455.625
17/09/2019,2205395,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (HOUSE), -",10B/1A BLESSINGTON,BLESSINGTON,CO. WICKLOW,,,0,0,OFFICE(S),45.6,80,3648
,,,,,,,,,,,,1,OFFICE(S),34.94,56,1956.64
09/11/2021,2197082,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (GEORGIAN / VICTORIAN), -",MAGUIRE MCNEICE SOLICITORS,2 EGLINTON ROAD,BRAY,CO WICKLOW,,0,0,OFFICE(S),33.63,120,4035.6
,,,,,,,,,,,,1,OFFICE(S),53.3,84,4477.2
,,,,,,,,,,,,2,OFFICE(S),17.16,59,1012.44
17/09/2019,2200483,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OVER THE SHOP), -",4 (2 REAR) ABBEY LANE,ARKLOW,CO. WICKLOW,,,0,2,OFFICE(S),39,49,1911
17/09/2019,2202832,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (HOUSE), -",LOCAL NO/MAP REF: 3B/2,BURGAGE MORE,BURGAGE,BALTINGLASS 1 CO. WICKLOW,,0,0,OFFICE(S),41.98,80,3358.4
,,,,,,,,,,,,1,OFFICE(S),41.98,56,2350.88
17/09/2019,2213260,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (INDUSTRIAL), -",LOCAL NO/MAP REF: 1C / ARAN CENTRE UNIT 1 A & B,BLESSINGTON DEMESNE,BLESSINGTON,BALTINGLASS 1 CO. WICKLOW,,0,0,OFFICE(S),67.08,60,4024.8
,,,,,,,,,,,,1,OFFICE(S),66.84,60,4010.4
17/09/2019,2213251,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (INDUSTRIAL), -",LOCAL NO/MAP REF: 1C / ARAN CENTRE UNIT 4A,BLESSINGTON DEMESNE,BLESSINGTON,BALTINGLASS 1 CO. WICKLOW,,0,0,OFFICE(S),38.96,60,2337.6
17/09/2019,2212590,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OVER THE SHOP), -",48(1) REAR MAIN STREET,BRAY,CO. WICKLOW,,,0,1,OFFICE(S),41.5,90,3735
17/09/2019,2180325,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (HOUSE), -",69A MAIN STREET LOWER,ARKLOW,CO. WICKLOW,,,0,0,OFFICE(S),23.66,90,2129.4
,,,,,,,,,,,,1,OFFICE(S),4.18,63,263.34
17/09/2019,2180506,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (HOUSE), -",5N/ UNIT 3 FERRYBANK,ARKLOW,CO. WICKLOW,,,0,0,OFFICE(S),31.66,90,2849.4
,,,,,,,,,,,,1,OFFICE(S),24.04,63,1514.52
,,,,,,,,,,,,2,OFFICE(S),30.72,44,1351.68
17/09/2019,654994,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (HOUSE), -","1 (FLOORS 0,1) RIVERVIEW HOUSE SEAPOINT ROAD",BRAY,CO. WICKLOW,,,0,0,OFFICE(S),27.7,120,3324
,,,,,,,,,,,,1,OFFICE(S),27.5,84,2310
17/09/2019,2179623,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OVER THE SHOP), -",51 (FLOOR 2) MAIN STREET,BRAY,CO. WICKLOW,,,0,2,OFFICE(S),47,63,2961
17/09/2019,2179604,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OWN DOOR), -",UNIT 3 (FLOOR 1) CARLISLE HOUSE ADELAIDE ROAD,BRAY,CO. WICKLOW,,,0,1,OFFICE(S),191.8,120,23016
17/09/2019,2161105,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OWN DOOR), -","111 (FLOORS -1, 0, 1 & 2) MAIN STREET",BRAY,CO. WICKLOW,,,0,-1,OFFICE(S),27.31,120,3277.2
,,,,,,,,,,,,0,OFFICE(S),81.93,120,9831.6
,,,,,,,,,,,,1,OFFICE(S),141.39,120,16966.8
,,,,,,,,,,,,2,OFFICE(S),92.6,120,11112
,,,,,,,,,,,,2,STORE,6.6,120,792
17/09/2019,2179185,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OVER THE SHOP), -",5/ UNIT 1 (FFL) BRIDGE STREET,WICKLOW,CO. WICKLOW,,,0,1,OFFICE(S),103.58,70,7250.6
,,,,,,,,,,,,1,ALLOWANCE,-1,1450.12,-1450.12
17/09/2019,2179753,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (BUSINESS PARK), -",LOCAL NO/MAP REF: 3/D/UNIT 19 FLR 2,BALLINACOR,TINAHELY,SHILLELAGH CO. WICKLOW,,0,2,OFFICE(S),56.48,70,3953.6
